Ref,Val,Package,PosX,PosY,Rot,Side
"BAT_SENS_E1","Opened","SJ",6.250000,14.450000,-90.000000,bottom
"C1","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",0.450000,13.650000,0.000000,bottom
"C2","1nF/2000V/10%/X7R/C1206","C_1206_5MIL_DWS_ISO",9.450000,10.500000,180.000000,bottom
"C3","47uF/6.3V/20%/X5R/C0805","C_0805_5MIL_DWS",13.850000,59.550000,180.000000,bottom
"C7","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",7.132000,18.131000,180.000000,bottom
"C8","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",10.815000,19.909000,-90.000000,bottom
"C9","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",14.450000,26.150000,0.000000,bottom
"C10","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",14.625000,31.974000,180.000000,bottom
"C13","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",11.831000,18.150000,180.000000,bottom
"C14","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",20.848000,25.878000,90.000000,bottom
"C15","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",23.134000,17.496000,90.000000,bottom
"C16","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",12.974000,19.401000,180.000000,bottom
"C17","2.2uF/6.3V/10%/X5R/C0603","C_0603_5MIL_DWS",15.994575,24.665601,180.000000,bottom
"C18","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",16.149000,23.211000,180.000000,bottom
"C19","1nF/50V/10%/X7R/C0402","C_0402_5MIL_DWS",5.708000,12.332000,180.000000,bottom
"C20","1uF/10V/20%/X5R/C0603","C_0603_5MIL_DWS",3.449000,75.408000,180.000000,bottom
"C26","NA(220pF/100V/C0603)","C_0603_5MIL_DWS",23.261000,31.466000,0.000000,bottom
"C28","NA(100nF/10V/20%/X5R/C04020)","C_0402_5MIL_DWS",25.166000,61.311000,0.000000,bottom
"Class4_EN1","Closed","SJ",21.483000,58.517000,-90.000000,bottom
"D1","1N5822/SS34/SMA","SMA-KA",5.100000,41.499000,-90.000000,bottom
"D6","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",5.608000,28.672000,180.000000,bottom
"D7","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",5.608000,26.259000,0.000000,bottom
"D8","SMAJ58A/SMA","SMA-KA",26.650000,13.686000,-90.000000,bottom
"D13","LED","LED_0201_0603Metric",9.850000,1.995000,-90.000000,bottom
"EXT1","NS(HN1x10)","HN1x10",45.425000,64.725000,-90.000000,bottom
"EXT2","NS(HN1x10)","HN1x10",45.450000,35.824733,-90.000000,bottom
"F1","Polyfuse_Small","TS250",35.925523,13.672579,180.000000,bottom
"F2","Polyfuse_Small","TS250",35.900000,24.750000,180.000000,bottom
"FET3","WPM2015-3/TR","SOT23",14.199960,28.926000,90.000000,bottom
"FID2","Fiducial","Fiducial1x3",0.250000,80.195000,180.000000,bottom
"FID5","Fiducial","Fiducial1x3",45.400000,80.165000,180.000000,bottom
"FID6","Fiducial","Fiducial1x3",44.500000,17.400000,180.000000,bottom
"L1","FB0805/600R/2A","L_0805_5MIL_DWS",15.006000,20.671000,0.000000,bottom
