Ref,Val,Package,PosX,PosY,Rot,Side
"3.3V1","TestPoint","TestPoint_Pad_1.0x1.0mm",29.210000,67.090000,0.000000,top
"485A1","TestPoint","TestPoint_Pad_1.0x1.0mm",30.850000,17.750000,0.000000,top
"485B1","TestPoint","TestPoint_Pad_1.0x1.0mm",41.300000,17.750000,0.000000,top
"485POE1","TestPoint","TestPoint_Pad_1.0x1.0mm",34.250000,47.100000,0.000000,top
"485RX1","TestPoint","TestPoint_Pad_1.0x1.0mm",38.650000,47.100000,0.000000,top
"485TX1","TestPoint","TestPoint_Pad_1.0x1.0mm",34.250000,50.200000,0.000000,top
"BAT1","DW02S","LIPO_BAT_VERTICAL_DW02S",-1.350000,9.500000,-90.000000,top
"BUT1","IT1185AU2","IT1185AU2_V2",25.809000,70.963000,90.000000,top
"C6","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",8.656000,19.020000,-90.000000,top
"C11","100nF/10V/20%/X5R/C04020","C_0402_5MIL_DWS",18.650000,19.950000,0.000000,top
"C12","100nF/100V/10%/X7R/C0603","C_0603_5MIL_DWS",16.149000,32.355000,180.000000,top
"C21","NA(10uF/6.3V/20%/X5R/C0603)","C_0603_5MIL_DWS",24.034400,20.798000,180.000000,top
"C22","22uF/6.3V/20%/X5R/C0603","C_0603_5MIL_DWS",15.250000,17.550000,180.000000,top
"C23","12pF/50V/5%/COG/C0402","C_0402_5MIL_DWS",10.053000,35.657000,0.000000,top
"C24","100nF/100V/10%/X7R/C0603","C_0603_5MIL_DWS",24.200800,34.006000,0.000000,top
"C25","470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm","CPOL-RM2.5mm_6.3x11mm_PTH",5.600000,35.600000,90.000000,top
"C27","15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844)","CPOL-RM2.5mm_6.3x11mm_PTH",21.991000,37.816000,0.000000,top
"C29","NA(120pF/50V/5%/C0G/C0402)","C_0402_5MIL_DWS",10.561000,17.242000,180.000000,top
"CHRG1","LED/YELLOW/0603","LED_0603_KA",3.200000,13.850000,180.000000,top
"D2","BAT54C(SOT23-3)","SOT23-3",4.465000,29.815000,180.000000,top
"D3","1N5822/SS34/SMA","SMA-KA",4.110000,17.720000,180.000000,top
"D4","SM712_SOT23","SOT-23",36.850000,22.830000,-90.000000,top
"D5","SS510/100V/5A/0.85V/DO214AB(SMC)","DO214AB(SMC)_1(K)-2(A)",22.067200,28.418000,-90.000000,top
"D9","1N5819S4(SOD-123)","SOD-123_1C-2A_KA",4.846000,39.975000,180.000000,top
"D10","LED","LED_0201_0603Metric",38.990500,42.500000,180.000000,top
"D11","LED","LED_0201_0603Metric",33.629797,42.500000,0.000000,top
"D12","LED","LED_0201_0603Metric",7.800000,6.300000,-90.000000,top
"EN1","TestPoint","TestPoint_Pad_1.0x1.0mm",-0.200000,44.800000,0.000000,top
"FET1","WPM2015-3/TR","SOT23",10.434000,32.355000,180.000000,top
"FET2","WPM2015-3/TR","SOT23",3.449000,21.778440,-90.000000,top
"FID1","Fiducial","Fiducial1x3",0.250000,80.200000,0.000000,top
"FID3","Fiducial","Fiducial1x3",45.410000,80.165000,0.000000,top
"FID4","Fiducial","Fiducial1x3",0.250000,24.500000,0.000000,top
"GND1","TestPoint","TestPoint_Pad_1.0x1.0mm",34.250000,58.750000,0.000000,top
"J1","Screw_Terminal_01x03","PhoenixContact_MSTBA_2,5_3-G_1x03_P5.00mm_Horizontal",32.700000,7.250000,0.000000,top
"J2","USB4105-GF-A-060","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",3.400000,-0.050000,0.000000,top
"J3","RJ45_Abracon_ARJP11A-MASA-B-A-EMU2","RJ45_Abracon_ARJP11A-MA_Horizontal",12.415000,12.625000,0.000000,top
"JP1","SolderJumper_2_Bridged","SolderJumper_IND_Data",36.835000,15.558173,0.000000,top
"L2","1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)","L_2016_MM",15.133000,19.528000,0.000000,top
"L4","33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330)","DBS135",11.577000,25.878000,180.000000,top
"MH1","Mounting_Hole_NPTH","NPTH_2.2mm",2.000000,52.075000,0.000000,top
"MH2","Mounting_Hole_NPTH","NPTH_2.2mm",37.600000,52.015000,0.000000,top
"MH3","Mounting_Hole_NPTH","NPTH_2.2mm",44.800000,11.900000,0.000000,top
"PWR2","LED/RED/0603","LED_0603_KA",0.000000,13.550000,0.000000,top
"PoE1","TestPoint","TestPoint_Pad_1.0x1.0mm",30.850000,33.000000,0.000000,top
"R4","47k/R0402","R_0402_5MIL_DWS",2.179000,64.400000,0.000000,top
"R5","2.2k/R0402","R_0402_5MIL_DWS",4.750000,9.300000,-90.000000,top
"R8","2.2k/R0402","R_0402_5MIL_DWS",5.350000,12.750000,0.000000,top
"R10","49.9R/1%/R0402","R_0402_5MIL_DWS",20.594000,18.639000,-90.000000,top
"R11","49.9R/1%/R0402","R_0402_5MIL_DWS",19.578000,18.639000,-90.000000,top
"R12","49.9R/1%/R0402","R_0402_5MIL_DWS",22.372000,18.639000,-90.000000,top
"R13","49.9R/1%/R0402","R_0402_5MIL_DWS",21.483000,18.639000,-90.000000,top
"R23","22R","R_0402_5MIL_DWS",40.800000,40.550000,180.000000,top
"R24","220R/R0402","R_0402_5MIL_DWS",6.370000,31.085000,180.000000,top
"R25","10k/R0402","R_0402_5MIL_DWS",23.388000,22.576000,90.000000,top
"R27","22R","R_0402_5MIL_DWS",32.801797,40.550000,180.000000,top
"R29","220k/R0402","R_0402_5MIL_DWS",10.053000,19.020000,-90.000000,top
"R30","49.9k/1%/R0402","R_0402_5MIL_DWS",12.466000,17.242000,0.000000,top
"R31","220R","R_0402_5MIL_DWS",37.850000,26.950000,-90.000000,top
"R32","10k/R0402","R_0402_5MIL_DWS",2.179000,66.137000,0.000000,top
"R33","4.7R/R0402","R_0402_5MIL_DWS",13.609000,32.101000,0.000000,top
