Component Count: 85;;;;;;;
;;;;;;;
Id;Designator;Footprint;Quantity;Value;Reference;Description;Attributes
1;3.3V1, 485A1, 485B1, 485POE1, 485RX1, 485TX1, EN1, GND1, PoE1, VBAT1, VBUS1;TestPoint_Pad_1.0x1.0mm;11;TestPoint;;;
2;BAT1;LIPO_BAT_VERTICAL_DW02S;1;DW02S;;;
3;BAT_SENS_E1;SJ;1;Opened;;;
4;BUT1, RST1;IT1185AU2_V2;2;IT1185AU2;IT1185AU2;Tactile Switch 2.0mm;
5;C1, C6, C7, C9, C10, C13, C22;C_0603_5MIL_DWS;7;22uF/6.3V/20%/X5R/C0603;C15850;22uF 6.3V 20% X5R 0603;
6;C2;C_1206_5MIL_DWS_ISO;1;1nF/2000V/10%/X7R/C1206;C441091;1nF 2000V 10% X7R 1206;
7;C3;C_0805_5MIL_DWS;1;47uF/6.3V/20%/X5R/C0805;C45304;47uF 6.3V 20% X5R 0805;
8;C8, C11, C14, C15, C16, C18;C_0402_5MIL_DWS;6;100nF/10V/20%/X5R/C04020;C1525;100nF 10V 10% X5R 0402;
9;C12, C24;C_0603_5MIL_DWS;2;100nF/100V/10%/X7R/C0603;C14663;100nF 100V 10% X7R 0603;
10;C17;C_0603_5MIL_DWS;1;2.2uF/6.3V/10%/X5R/C0603;C15849;2.2uF 10V 10% X5R 0603;
11;C19;C_0402_5MIL_DWS;1;1nF/50V/10%/X7R/C0402;C1523;1nF 50V 10% X7R 0402;
12;C20;C_0603_5MIL_DWS;1;1uF/10V/20%/X5R/C0603;C15849;1uF 10V 10% X5R 0603;
13;C21;C_0603_5MIL_DWS;1;10uF/6.3V/20%/X5R/C0603;C19702;10uF 10V 10% X5R 0603;DNP
14;C23;C_0402_5MIL_DWS;1;12pF/50V/5%/COG/C0402;C1547;12pF 50V 5% COG 0402;
15;C25;CPOL-RM2.5mm_6.3x11mm_PTH;1;470uF/10V/20%/Low_ESR/RM2.5/6.0x11mm;;;
16;C26;C_0603_5MIL_DWS;1;220pF/100V/C0603;C1593;220pF 100V 10% COG 0603;DNP
17;C27;CPOL-RM2.5mm_6.3x11mm_PTH;1;15uF/100V/20%/RM2.5/6.3x11mm(Farnell:1281844;1281844;Aluminum Cap 15uF 100V PTH;
18;C28;C_0402_5MIL_DWS;1;100nF/10V/20%/X5R/C04020;C1525;100nF 10V 10% X5R 0402;DNP
19;C29;C_0402_5MIL_DWS;1;120pF/50V/5%/C0G/C0402;C1548;120pF 50V 5% COG 0402;DNP
20;CHRG1;LED_0603_KA;1;LED/YELLOW/0603;C72038;LED Yellow 0603;
21;Class4_EN1;SJ;1;Closed;;;
22;D1, D3;SMA-KA;2;1N5822/SS34/SMA;SS34;Schottky Diode SMA;
23;D2;SOT23-3;1;BAT54C(SOT23-3;BAT54C;Schottky Barrier Diode SOT-23;
24;D4;SOT-23;1;SM712_SOT23;SM712;TVS Diode Array SOT-23;
25;D5;DO214AB(SMC)_1(K)-2(A);1;SS510/100V/5A/0.85V/DO214AB(SMC;SS510;Schottky Diode SMC;
26;D6, D7, D9;SOD-123_1C-2A_KA;3;1N5819S4(SOD-123;1N5819S4;Schottky Diode SOD-123;
27;D8;SMA-KA;1;SMAJ58A/SMA;SMAJ58A;TVS Diode SMA;
28;D10, D11, D12, D13;LED_0201_0603Metric;4;LED;C2286;LED 0603;
29;EXT1, EXT2;HN1x10;2;NS(HN1x10;;;
30;F1, F2;TS250;2;Polyfuse_Small;;;
31;FET1, FET2, FET3;SOT23;3;WPM2015-3/TR;WPM2015-3/TR;P-Channel MOSFET SOT-23;
32;FID1, FID2, FID3, FID4, FID5, FID6;Fiducial1x3;6;Fiducial;;;
33;J1;PhoenixContact_MSTBA_2,5_3-G_1x03_P5.00mm_Horizontal;1;Screw_Terminal_01x03;;;
34;J2;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB4105-GF-A-060;USB4105-GF-A-060;USB-C Connector 16-pin;
35;J3;RJ45_Abracon_ARJP11A-MA_Horizontal;1;RJ45_Abracon_ARJP11A-MASA-B-A-EMU2;ARJP11A-MASA-B-A-EMU2;RJ45 with Magnetics;
36;L1, L5, L7;L_0805_5MIL_DWS;3;FB0805/600R/2A;C1017;Ferrite Bead 0805;
37;L2;L_2016_MM;1;1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00;PIM201610-1R0MTS00;Inductor 2016 1.0uH;
38;L4;DBS135;1;33uH/2.1A/DCR=0.1R/20%/DBS135(PD3316MT330;PD3316MT330;Inductor 33uH;
39;MH1, MH2, MH3;NPTH_2.2mm;3;Mounting_Hole_NPTH;;;
40;MICRO_SD1;uSD(TFC-9P-1.xH(ATFFS150A01BR016));1;TFC-9P-1.7H(ATFFS150A01BR016;ATFFS150A01BR016;MicroSD Slot;
41;PWR2;LED_0603_KA;1;LED/RED/0603;C2286;LED Red 0603;
42;Q2, Q3;SOT23;2;BC817-40(SOT23;BC817-40;NPN Transistor SOT-23;
43;R1, R2, R6, R18, R19, R25, R32, R39, R48;R_0402_5MIL_DWS;9;10k/R0402;C25744;10k 1% 0402;
44;R3, R20, R21;R_0402_5MIL_DWS;3;1k/R0402;C21190;1k 1% 0402;
45;R4;R_0402_5MIL_DWS;1;47k/R0402;C25917;47k 1% 0402;
46;R5, R8, R41, R57, R58;R_0402_5MIL_DWS;5;2.2k/R0402;C25830;2.2k 1% 0402;
47;R7, R42;R_2512_MM_DWS;2;9.1k/R2512;;;
48;R9;R_0402_5MIL_DWS;1;100k/R0402;C25741;100k 1% 0402;
49;R10, R11, R12, R13;R_0402_5MIL_DWS;4;49.9R/1%/R0402;C25119;49.9R 1% 0402;
50;R16;R_0402_5MIL_DWS;1;10k/R0402;C25744;10k 1% 0402;DNP
51;R17, R22;R_0402_5MIL_DWS;2;470k/R0402;C25911;470k 1% 0402;
52;R23, R27;R_0402_5MIL_DWS;2;22R;C25092;22R 1% 0402;
53;R24, R46, R47;R_0402_5MIL_DWS;3;220R/R0402;C25080;220R 1% 0402;
54;R26;R_0402_5MIL_DWS;1;12.1k/1%/R0402;C21190;1k 1% 0402;
55;R28;R_1206_5MIL_DWS;1;0.03R/1%/R1206;C18924;Resistor 0.03R 1% 1206;
56;R29;R_0402_5MIL_DWS;1;220k/R0402;C25812;220k 1% 0402;
57;R30;R_0402_5MIL_DWS;1;49.9k/1%/R0402;C25785;49.9k 1% 0402;
58;R31, R35;R_0402_5MIL_DWS;2;220R;C25080;220R 1% 0402;
59;R33;R_0402_5MIL_DWS;1;4.7R/R0402;C25115;4.7R 1% 0402;
60;R34;R_0402_5MIL_DWS;1;5.23k/1%/R0402;C25890;5.23k 1% 0402;
61;R36;R_0402_5MIL_DWS;1;120R;C25070;120R 1% 0402;
62;R37, R50, R51, R56;R_0402_5MIL_DWS;4;2.2K;C25830;2.2k 1% 0402;
63;R38;R_0402_5MIL_DWS;1;30.1k/1%/R0402;C21190;1k 1% 0402;
64;R40;R_0402_5MIL_DWS;1;10R/R0402;C25068;10R 1% 0402;
65;R43;R_0603_5MIL_DWS;1;22R/R0603;;;DNP
66;R44, R49;R_0402_5MIL_DWS;2;R0402;;;DNP
67;R45;R_0402_5MIL_DWS;1;10R/R0402;C25068;10R 1% 0402;DNP
68;R52;R_0402_5MIL_DWS;1;24.9k/1%/R0402;C25769;24.9k 1% 0402;
69;R53;R_0402_5MIL_DWS;1;1.27k/1%/62.5mW/R0402;C25852;1.27k 1% 0402;
70;R54;R_0805_5MIL_DWS;1;66.5R/1%/125mW/R0805;C17772;Resistor 66.5R 1% 0805;DNP
71;R55;R_0402_5MIL_DWS;1;4.7k/R0402;C25900;4.7k 1% 0402;
72;R62, R63;R_0402_5MIL_DWS;2;5.1K;C21190;1k 1% 0402;
73;RM1, RM2, RM3;R_MATRIX_4;3;RA1206_(4X0603_4B8_2.2k;;;
74;T1;SOT23;1;LMUN2211LT1G(SOT-23;LMUN2211LT1G;NPN Digital Transistor SOT-23;
75;TVS1;SOT-23-5;1;ESDS314DBVR(SOT-23-5;ESDS314DBVR;4-Ch TVS Diode SOT-23-5;
76;TVS2, TVS3;D_0402_5MIL_DWS;2;GG0402052R542P;GG0402052R542P;ESD Suppressor 0402;DNP
77;U1;MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm;1;CH340X(MSOP-10;CH340X;USB to UART bridge MSOP-10;
78;U3;SOT-23-5;1;TP4054-42-SOT25-R(SOT23-5;TP4054-42-SOT25-R;Lipo Battery Charger SOT-25;
79;U4;QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm;1;LAN8710A-EZC(QFN32;LAN8710A-EZC;Ethernet PHY QFN-32;
80;U5;ESOIC-8;1;TX4138(ESOIC-8;TX4138;Flyback Switcher ESOIC-8;
81;U6;ESP32-WROVER-32E-N4;1;ESP32-WROVER-32E-N4;ESP32-WROVER-32E-N4;ESP32 Module 4MB Flash;
82;U7;SOT-563-6;1;TPS62A02ADRLR(SOT-563-6;TPS62A02ADRLR;Step-down converter SOT-563;
83;U8;SOT-23-5;1;SN74LVC1G04DBVR(SOT23-5;SN74LVC1G04DBVR;Single Inverter SOT-23-5;DNP
84;U9;ESOIC-8;1;TPS2378DDAR(HSOIC-8;TPS2378DDAR;PoE PD Interface ESOIC-8;
85;U10;MAX13487;1;MAX13487;MAX13487EESA+T;RS-485 Transceiver SOIC-8;
